Produced by "The Resistance", Tue Jun 18 20:01:08 2019
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 3, crosswires = 3
---------------------------------------------------------
y	x	potential
1	0	0
2	0	0
3	0	0
5	0	0
6	0	0
7	0	0
9	0	0
10	0	0
11	0	0
13	0	0
14	0	0
15	0	0
17	0	0
18	0	0
19	0	0
21	0	0
22	0	0
23	0	0
25	0	0
26	0	0
27	0	0
29	0	0
30	0	0
31	0	0
33	0	0
34	0	0
35	0	0
37	0	0
38	0	0
39	0	0
41	0	0
42	0	0
43	0	0
45	0	0
46	0	0
47	0	0
49	0	0
50	0	0
51	0	0
53	0	0
54	0	0
55	0	0
57	0	0
58	0	0
59	0	0
61	0	0
62	0	0
63	0	0
65	0	0
66	0	0
67	0	0
69	0	0
70	0	0
71	0	0
73	0	0
74	0	0
75	0	0
77	0	0
78	0	0
79	0	0
81	0	0
82	0	0
83	0	0
85	0	0
86	0	0
87	0	0
89	0	0
90	0	0
91	0	0
93	0	0
94	0	0
95	0	0
97	0	0
98	0	0
99	0	0
101	0	0
102	0	0
103	0	0
105	0	0
106	0	0
107	0	0
1	108	1
2	108	1
3	108	1
5	108	1
6	108	1
7	108	1
9	108	1
10	108	1
11	108	1
13	108	1
14	108	1
15	108	1
17	108	1
18	108	1
19	108	1
21	108	1
22	108	1
23	108	1
25	108	1
26	108	1
27	108	1
29	108	1
30	108	1
31	108	1
33	108	1
34	108	1
35	108	1
37	108	1
38	108	1
39	108	1
41	108	1
42	108	1
43	108	1
45	108	1
46	108	1
47	108	1
49	108	1
50	108	1
51	108	1
53	108	1
54	108	1
55	108	1
57	108	1
58	108	1
59	108	1
61	108	1
62	108	1
63	108	1
65	108	1
66	108	1
67	108	1
69	108	1
70	108	1
71	108	1
73	108	1
74	108	1
75	108	1
77	108	1
78	108	1
79	108	1
81	108	1
82	108	1
83	108	1
85	108	1
86	108	1
87	108	1
89	108	1
90	108	1
91	108	1
93	108	1
94	108	1
95	108	1
97	108	1
98	108	1
99	108	1
101	108	1
102	108	1
103	108	1
105	108	1
106	108	1
107	108	1
1	1	0.00689501
1	2	0.0140843
0	1	0.00689501
2	1	0.00660074
2	2	0.0135145
3	1	0.00599351
3	2	0.0122444
4	1	0.00512887
5	1	0.00426423
5	2	0.00809569
6	1	0.00383235
6	2	0.00714762
7	1	0.00391756
7	2	0.00740584
8	1	0.00443204
9	1	0.00494652
9	2	0.0100677
10	1	0.00528634
10	2	0.0108055
11	1	0.00539327
11	2	0.0110015
12	1	0.00528527
13	1	0.00517727
13	2	0.0105374
14	1	0.00488647
14	2	0.00995504
15	1	0.00441358
15	2	0.00896334
16	1	0.00380451
17	1	0.00319544
17	2	0.00604822
18	1	0.00292902
18	2	0.00545513
19	1	0.00306549
19	2	0.00578964
20	1	0.00354332
21	1	0.00402114
21	2	0.00814761
22	1	0.00439364
22	2	0.00894075
23	1	0.00461267
23	2	0.00938244
24	1	0.00467459
