Produced by "The Resistance", Tue Jun 18 20:01:08 2019
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 2, crosswires = 3
---------------------------------------------------------
y	x	potential
1	0	0
2	0	0
3	0	0
5	0	0
6	0	0
7	0	0
9	0	0
10	0	0
11	0	0
13	0	0
14	0	0
15	0	0
17	0	0
18	0	0
19	0	0
21	0	0
22	0	0
23	0	0
25	0	0
26	0	0
27	0	0
29	0	0
30	0	0
31	0	0
33	0	0
34	0	0
35	0	0
1	36	1
2	36	1
3	36	1
5	36	1
6	36	1
7	36	1
9	36	1
10	36	1
11	36	1
13	36	1
14	36	1
15	36	1
17	36	1
18	36	1
19	36	1
21	36	1
22	36	1
23	36	1
25	36	1
26	36	1
27	36	1
29	36	1
30	36	1
31	36	1
33	36	1
34	36	1
35	36	1
1	1	0.0224885
1	2	0.0459306
0	1	0.0224885
2	1	0.0215348
2	2	0.0440831
3	1	0.0195677
3	2	0.0399655
4	1	0.0167706
5	1	0.0139734
5	2	0.026523
6	1	0.0126002
6	2	0.0234991
7	1	0.0129281
7	2	0.0244422
8	1	0.0146703
9	1	0.0164124
9	2	0.0334016
10	1	0.0175776
10	2	0.0359216
11	1	0.0179763
11	2	0.0366588
12	1	0.0176687
13	1	0.0173611
13	2	0.0353224
14	1	0.0164535
14	2	0.0334999
15	1	0.0149529
15	2	0.0303323
16	1	0.0130257
17	1	0.0110985
17	2	0.020984
18	1	0.0103842
18	2	0.0193397
19	1	0.0110985
19	2	0.020984
20	1	0.0130257
21	1	0.0149529
21	2	0.0303323
22	1	0.0164535
22	2	0.0334999
23	1	0.0173611
23	2	0.0353224
24	1	0.0176687
25	1	0.0179763
25	2	0.0366588
26	1	0.0175776
26	2	0.0359216
27	1	0.0164124
27	2	0.0334016
28	1	0.0146703
29	1	0.0129281
29	2	0.0244422
30	1	0.0126002
30	2	0.0234991
31	1	0.0139734
31	2	0.026523
32	1	0.0167706
33	1	0.0195677
33	2	0.0399655
34	1	0.0215348
34	2	0.0440831
35	1	0.0224885
35	2	0.0459306
36	1	0.0224885
35	3	0.0712204
36	2	0.0459306
34	3	0.0689013
33	3	0.0629669
32	2	0.0332442
31	3	0.035375
30	3	0.0304312
29	3	0.0324195
28	2	0.0289219
27	3	0.0523507
26	3	0.0560484
25	3	0.0567466
24	2	0.0359906
23	3	0.0544381
22	3	0.0518912
21	3	0.0472183
20	2	0.0256582
19	3	0.0278399
18	3	0.0250065
17	3	0.0278399
16	2	0.0256582
15	3	0.0472183
14	3	0.0518912
13	3	0.0544381
12	2	0.0359906
11	3	0.0567466
10	3	0.0560484
9	3	0.0523507
8	2	0.0289219
7	3	0.0324195
6	3	0.0304312
5	3	0.035375
4	2	0.0332442
3	3	0.0629669
2	3	0.0689013
1	3	0.0712204
0	2	0.0459306
1	4	0.0988291
0	3	0.0712204
2	4	0.097335
3	4	0.0938298
4	3	0.049171
5	4	0.035375
6	4	0.0304312
7	4	0.0324195
