Produced by "The Resistance", Tue Jun 18 20:11:32 2019
---------------------------------------------------------
Parameters: b = 4, l = 2, level = 1, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
1	8	1
3	8	1
5	8	1
7	8	1
1	1	0.1
1	2	0.233333
0	1	0.1
2	1	0.0666667
3	1	0.0333333
3	2	0.0333333
4	1	0.0333333
5	1	0.0333333
5	2	0.0333333
6	1	0.0666667
7	1	0.1
7	2	0.233333
8	1	0.1
7	3	0.366667
7	4	0.5
6	3	0.366667
8	3	0.366667
7	5	0.633333
7	6	0.766667
6	5	0.633333
8	5	0.633333
7	7	0.9
6	7	0.933333
8	7	0.9
5	7	0.966667
5	6	0.966667
4	7	0.966667
3	7	0.966667
3	6	0.966667
2	7	0.933333
1	7	0.9
1	6	0.766667
0	7	0.9
1	5	0.633333
1	4	0.5
0	5	0.633333
2	5	0.633333
1	3	0.366667
0	3	0.366667
2	3	0.366667
