Produced by "The Resistance", Tue Jun 18 20:11:32 2019
---------------------------------------------------------
Parameters: b = 4, l = 2, level = 3, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
11	0	0
13	0	0
15	0	0
17	0	0
19	0	0
21	0	0
23	0	0
25	0	0
27	0	0
29	0	0
31	0	0
33	0	0
35	0	0
37	0	0
39	0	0
41	0	0
43	0	0
45	0	0
47	0	0
49	0	0
51	0	0
53	0	0
55	0	0
57	0	0
59	0	0
61	0	0
63	0	0
65	0	0
67	0	0
69	0	0
71	0	0
73	0	0
75	0	0
77	0	0
79	0	0
81	0	0
83	0	0
85	0	0
87	0	0
89	0	0
91	0	0
93	0	0
95	0	0
97	0	0
99	0	0
101	0	0
103	0	0
105	0	0
107	0	0
109	0	0
111	0	0
113	0	0
115	0	0
117	0	0
119	0	0
121	0	0
123	0	0
125	0	0
127	0	0
1	128	1
3	128	1
5	128	1
7	128	1
9	128	1
11	128	1
13	128	1
15	128	1
17	128	1
19	128	1
21	128	1
23	128	1
25	128	1
27	128	1
29	128	1
31	128	1
33	128	1
35	128	1
37	128	1
39	128	1
41	128	1
43	128	1
45	128	1
47	128	1
49	128	1
51	128	1
53	128	1
55	128	1
57	128	1
59	128	1
61	128	1
63	128	1
65	128	1
67	128	1
69	128	1
71	128	1
73	128	1
75	128	1
77	128	1
79	128	1
81	128	1
83	128	1
85	128	1
87	128	1
89	128	1
91	128	1
93	128	1
95	128	1
97	128	1
99	128	1
101	128	1
103	128	1
105	128	1
107	128	1
109	128	1
111	128	1
113	128	1
115	128	1
117	128	1
119	128	1
121	128	1
123	128	1
125	128	1
127	128	1
1	1	0.0045634
1	2	0.0106906
0	1	0.0045634
2	1	0.0029996
3	1	0.0014358
3	2	0.0014358
4	1	0.0013078
5	1	0.00117979
5	2	0.00117979
6	1	0.00223159
7	1	0.00328338
7	2	0.00769532
8	1	0.00320661
9	1	0.00312984
9	2	0.00728695
10	1	0.00202582
11	1	0.000921793
11	2	0.000921793
12	1	0.00073956
13	1	0.000557328
13	2	0.000557328
14	1	0.000932423
15	1	0.00130752
15	2	0.00299823
16	1	0.00129942
17	1	0.00129132
17	2	0.00296809
18	1	0.000897789
19	1	0.000504254
19	2	0.000504254
20	1	0.000614973
21	1	0.000725692
21	2	0.000725692
22	1	0.0015621
23	1	0.00239852
23	2	0.00558038
24	1	0.00245157
25	1	0.00250463
25	2	0.00586962
26	1	0.00169733
27	1	0.000890028
27	2	0.000890028
28	1	0.000972756
29	1	0.00105548
29	2	0.00105548
30	1	0.00219369
31	1	0.0033319
31	2	0.00780456
32	1	0.00332936
33	1	0.00332681
33	2	0.00779384
34	1	0.00218405
35	1	0.00104128
35	2	0.00104128
36	1	0.000939794
37	1	0.000838309
37	2	0.000838309
38	1	0.00157513
39	1	0.00231195
39	2	0.0054174
40	1	0.00225528
41	1	0.00219861
41	2	0.00512016
42	1	0.00141899
