Produced by "The Resistance", Tue Jun 18 20:11:32 2019
---------------------------------------------------------
Parameters: b = 4, l = 2, level = 2, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
11	0	0
13	0	0
15	0	0
17	0	0
19	0	0
21	0	0
23	0	0
25	0	0
27	0	0
29	0	0
31	0	0
1	32	1
3	32	1
5	32	1
7	32	1
9	32	1
11	32	1
13	32	1
15	32	1
17	32	1
19	32	1
21	32	1
23	32	1
25	32	1
27	32	1
29	32	1
31	32	1
1	1	0.021443
1	2	0.0502299
0	1	0.021443
2	1	0.0140992
3	1	0.00675535
3	2	0.00675535
4	1	0.00616688
5	1	0.0055784
5	2	0.0055784
6	1	0.0105683
7	1	0.0155582
7	2	0.0364567
8	1	0.015208
9	1	0.0148577
9	2	0.0345803
10	1	0.0096427
11	1	0.00442767
11	2	0.00442767
12	1	0.0036403
13	1	0.00285293
13	2	0.00285293
14	1	0.00491849
15	1	0.00698405
15	2	0.0160337
16	1	0.00698405
17	1	0.00698405
17	2	0.0160337
18	1	0.00491849
19	1	0.00285293
19	2	0.00285293
20	1	0.0036403
21	1	0.00442767
21	2	0.00442767
22	1	0.0096427
23	1	0.0148577
23	2	0.0345803
24	1	0.015208
25	1	0.0155582
25	2	0.0364567
26	1	0.0105683
27	1	0.0055784
27	2	0.0055784
28	1	0.00616688
29	1	0.00675535
29	2	0.00675535
30	1	0.0140992
31	1	0.021443
31	2	0.0502299
32	1	0.021443
31	3	0.0790167
31	4	0.107804
30	3	0.0790167
32	3	0.0790167
31	5	0.13659
31	6	0.165377
30	5	0.13659
32	5	0.13659
31	7	0.194164
31	8	0.219359
30	7	0.197756
32	7	0.194164
29	7	0.201348
29	6	0.201348
29	8	0.21031
28	7	0.195978
27	7	0.190607
27	6	0.190607
27	8	0.20126
26	7	0.174585
25	7	0.158562
25	6	0.130383
25	8	0.19221
24	7	0.137071
23	7	0.115579
23	6	0.103137
23	8	0.115579
22	7	0.10653
21	7	0.0974801
21	6	0.0974801
21	8	0.0974801
20	7	0.0884305
19	7	0.0793809
19	6	0.0793809
19	8	0.0793809
18	7	0.0703313
17	7	0.0612817
17	6	0.0522321
17	8	0.0612817
16	7	0.0612817
15	7	0.0612817
15	6	0.0522321
15	8	0.0612817
14	7	0.0703313
13	7	0.0793809
13	6	0.0793809
13	8	0.0793809
12	7	0.0884305
11	7	0.0974801
11	6	0.0974801
11	8	0.0974801
10	7	0.10653
9	7	0.115579
9	6	0.103137
9	8	0.115579
8	7	0.137071
7	7	0.158562
7	6	0.130383
7	8	0.19221
6	7	0.174585
5	7	0.190607
5	6	0.190607
5	8	0.20126
4	7	0.195978
3	7	0.201348
3	6	0.201348
3	8	0.21031
2	7	0.197756
1	7	0.194164
1	6	0.165377
1	8	0.219359
0	7	0.194164
1	9	0.244554
1	10	0.282391
0	9	0.244554
2	9	0.231913
3	9	0.219271
3	10	0.219271
