Produced by "The Resistance", Tue Jun 18 19:55:45 2019
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 2, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
11	0	0
13	0	0
15	0	0
17	0	0
1	18	1
3	18	1
5	18	1
7	18	1
9	18	1
11	18	1
13	18	1
15	18	1
17	18	1
1	1	0.0436628
1	2	0.0992521
0	1	0.0436628
2	1	0.0317364
3	1	0.01981
3	2	0.01981
4	1	0.0276936
5	1	0.0355771
5	2	0.0806886
6	1	0.0339263
7	1	0.0322755
7	2	0.0709689
8	1	0.0242066
9	1	0.0161377
9	2	0.0161377
10	1	0.0242066
11	1	0.0322755
11	2	0.0709689
12	1	0.0339263
13	1	0.0355771
13	2	0.0806886
14	1	0.0276936
15	1	0.01981
15	2	0.01981
16	1	0.0317364
17	1	0.0436628
17	2	0.0992521
18	1	0.0436628
17	3	0.154841
17	4	0.210431
16	3	0.154841
18	3	0.154841
17	5	0.26602
17	6	0.316134
16	5	0.271495
18	5	0.26602
15	5	0.276969
15	4	0.276969
15	6	0.304848
14	5	0.254565
13	5	0.232161
13	4	0.178981
13	6	0.293562
12	5	0.201536
11	5	0.170912
11	4	0.140287
11	6	0.170912
10	5	0.170912
9	5	0.170912
9	4	0.170912
9	6	0.170912
8	5	0.170912
7	5	0.170912
7	4	0.140287
7	6	0.170912
6	5	0.201536
5	5	0.232161
5	4	0.178981
5	6	0.293562
4	5	0.254565
3	5	0.276969
3	4	0.276969
3	6	0.304848
2	5	0.271495
1	5	0.26602
1	4	0.210431
1	6	0.316134
0	5	0.26602
1	7	0.366249
1	8	0.433124
0	7	0.366249
2	7	0.349488
3	7	0.332727
3	8	0.332727
4	7	0.343845
5	7	0.354963
5	8	0.427481
6	7	0.354963
5	9	0.5
5	10	0.572519
4	9	0.5
6	9	0.5
5	11	0.645037
5	12	0.706438
4	11	0.656155
6	11	0.645037
3	11	0.667273
3	10	0.667273
3	12	0.695152
2	11	0.650512
1	11	0.633751
1	10	0.566876
1	12	0.683866
0	11	0.633751
1	13	0.73398
1	14	0.789569
0	13	0.73398
2	13	0.728505
3	13	0.723031
3	14	0.723031
4	13	0.745435
5	13	0.767839
5	14	0.821019
6	13	0.798464
7	13	0.829088
7	12	0.829088
7	14	0.859713
8	13	0.829088
9	13	0.829088
9	12	0.829088
9	14	0.829088
10	13	0.829088
11	13	0.829088
11	12	0.829088
11	14	0.859713
12	13	0.798464
13	13	0.767839
13	12	0.706438
13	14	0.821019
14	13	0.745435
15	13	0.723031
15	12	0.695152
15	14	0.723031
16	13	0.728505
17	13	0.73398
17	12	0.683866
17	14	0.789569
18	13	0.73398
17	15	0.845159
17	16	0.900748
16	15	0.845159
18	15	0.845159
17	17	0.956337
16	17	0.968264
18	17	0.956337
15	17	0.98019
15	16	0.98019
14	17	0.972306
13	17	0.964423
13	16	0.919311
12	17	0.966074
11	17	0.967725
11	16	0.929031
10	17	0.975793
9	17	0.983862
9	16	0.983862
8	17	0.975793
7	17	0.967725
7	16	0.929031
6	17	0.966074
5	17	0.964423
5	16	0.919311
4	17	0.972306
3	17	0.98019
3	16	0.98019
2	17	0.968264
1	17	0.956337
1	16	0.900748
0	17	0.956337
1	15	0.845159
0	15	0.845159
2	15	0.845159
5	15	0.8742
4	15	0.8742
6	15	0.882269
7	15	0.890338
8	15	0.890338
11	15	0.890338
10	15	0.890338
12	15	0.882269
13	15	0.8742
14	15	0.8742
17	11	0.633751
17	10	0.566876
16	11	0.650512
18	11	0.633751
15	11	0.667273
15	10	0.667273
14	11	0.656155
13	11	0.645037
13	10	0.572519
12	11	0.645037
13	9	0.5
13	8	0.427481
12	9	0.5
14	9	0.5
13	7	0.354963
12	7	0.354963
14	7	0.343845
15	7	0.332727
15	8	0.332727
16	7	0.349488
17	7	0.366249
17	8	0.433124
18	7	0.366249
17	9	0.5
16	9	0.5
18	9	0.5
1	9	0.5
0	9	0.5
2	9	0.5
1	3	0.154841
0	3	0.154841
2	3	0.154841
5	3	0.1258
4	3	0.1258
6	3	0.117731
7	3	0.109662
8	3	0.109662
11	3	0.109662
10	3	0.109662
12	3	0.117731
13	3	0.1258
14	3	0.1258
