Produced by "The Resistance", Tue Jun 18 19:55:45 2019
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 3, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
11	0	0
13	0	0
15	0	0
17	0	0
19	0	0
21	0	0
23	0	0
25	0	0
27	0	0
29	0	0
31	0	0
33	0	0
35	0	0
37	0	0
39	0	0
41	0	0
43	0	0
45	0	0
47	0	0
49	0	0
51	0	0
53	0	0
1	54	1
3	54	1
5	54	1
7	54	1
9	54	1
11	54	1
13	54	1
15	54	1
17	54	1
19	54	1
21	54	1
23	54	1
25	54	1
27	54	1
29	54	1
31	54	1
33	54	1
35	54	1
37	54	1
39	54	1
41	54	1
43	54	1
45	54	1
47	54	1
49	54	1
51	54	1
53	54	1
1	1	0.0133843
1	2	0.0304494
0	1	0.0133843
2	1	0.00970353
3	1	0.00602275
3	2	0.00602275
4	1	0.0083647
5	1	0.0107067
5	2	0.0243185
6	1	0.0101435
7	1	0.00958027
7	2	0.0211131
8	1	0.00706455
9	1	0.00454883
9	2	0.00454883
10	1	0.00658194
11	1	0.00861505
11	2	0.0189062
12	1	0.00897209
13	1	0.00932913
13	2	0.0211698
14	1	0.00717461
15	1	0.00502009
15	2	0.00502009
16	1	0.00788566
17	1	0.0107512
17	2	0.0244241
18	1	0.0106952
19	1	0.0106392
19	2	0.0241768
20	1	0.00768475
21	1	0.0047303
21	2	0.0047303
22	1	0.00650615
23	1	0.008282
23	2	0.0187341
24	1	0.00788781
25	1	0.00749362
25	2	0.0164665
26	1	0.00562022
27	1	0.00374681
27	2	0.00374681
28	1	0.00562022
29	1	0.00749362
29	2	0.0164665
30	1	0.00788781
31	1	0.008282
31	2	0.0187341
32	1	0.00650615
33	1	0.0047303
33	2	0.0047303
34	1	0.00768475
35	1	0.0106392
35	2	0.0241768
36	1	0.0106952
37	1	0.0107512
37	2	0.0244241
38	1	0.00788566
39	1	0.00502009
39	2	0.00502009
40	1	0.00717461
41	1	0.00932913
41	2	0.0211698
42	1	0.00897209
43	1	0.00861505
43	2	0.0189062
44	1	0.00658194
45	1	0.00454883
45	2	0.00454883
46	1	0.00706455
47	1	0.00958027
47	2	0.0211131
48	1	0.0101435
49	1	0.0107067
49	2	0.0243185
50	1	0.0083647
51	1	0.00602275
51	2	0.00602275
52	1	0.00970353
53	1	0.0133843
53	2	0.0304494
54	1	0.0133843
53	3	0.0475145
53	4	0.0645797
52	3	0.0475145
54	3	0.0475145
53	5	0.0816448
53	6	0.097179
52	5	0.0831757
54	5	0.0816448
51	5	0.0847065
51	4	0.0847065
51	6	0.0933715
50	5	0.0775725
49	5	0.0704384
49	4	0.0541843
49	6	0.089564
48	5	0.0604327
47	5	0.050427
47	4	0.0415364
47	6	0.050427
46	5	0.0493118
45	5	0.0481967
45	4	0.0481967
45	6	0.0481967
44	5	0.0470815
43	5	0.0459664
43	4	0.0375818
43	6	0.0459664
