Produced by "The Resistance", Tue Jun 18 19:55:45 2019
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 4, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
11	0	0
13	0	0
15	0	0
17	0	0
19	0	0
21	0	0
23	0	0
25	0	0
27	0	0
29	0	0
31	0	0
33	0	0
35	0	0
37	0	0
39	0	0
41	0	0
43	0	0
45	0	0
47	0	0
49	0	0
51	0	0
53	0	0
55	0	0
57	0	0
59	0	0
61	0	0
63	0	0
65	0	0
67	0	0
69	0	0
71	0	0
73	0	0
75	0	0
77	0	0
79	0	0
81	0	0
83	0	0
85	0	0
87	0	0
89	0	0
91	0	0
93	0	0
95	0	0
97	0	0
99	0	0
101	0	0
103	0	0
105	0	0
107	0	0
109	0	0
111	0	0
113	0	0
115	0	0
117	0	0
119	0	0
121	0	0
123	0	0
125	0	0
127	0	0
129	0	0
131	0	0
133	0	0
135	0	0
137	0	0
139	0	0
141	0	0
143	0	0
145	0	0
147	0	0
149	0	0
151	0	0
153	0	0
155	0	0
157	0	0
159	0	0
161	0	0
1	162	1
3	162	1
5	162	1
7	162	1
9	162	1
11	162	1
13	162	1
15	162	1
17	162	1
19	162	1
21	162	1
23	162	1
25	162	1
27	162	1
29	162	1
31	162	1
33	162	1
35	162	1
37	162	1
39	162	1
41	162	1
43	162	1
45	162	1
47	162	1
49	162	1
51	162	1
53	162	1
55	162	1
57	162	1
59	162	1
61	162	1
63	162	1
65	162	1
67	162	1
69	162	1
71	162	1
73	162	1
75	162	1
77	162	1
79	162	1
81	162	1
83	162	1
85	162	1
87	162	1
89	162	1
91	162	1
93	162	1
95	162	1
97	162	1
99	162	1
101	162	1
103	162	1
105	162	1
107	162	1
109	162	1
111	162	1
113	162	1
115	162	1
117	162	1
119	162	1
121	162	1
123	162	1
125	162	1
127	162	1
129	162	1
131	162	1
133	162	1
135	162	1
137	162	1
139	162	1
141	162	1
143	162	1
145	162	1
147	162	1
149	162	1
151	162	1
153	162	1
155	162	1
157	162	1
159	162	1
161	162	1
1	1	0.00410178
1	2	0.00933224
0	1	0.00410178
2	1	0.00297309
3	1	0.00184441
3	2	0.00184441
4	1	0.00256013
5	1	0.00327585
5	2	0.00744154
6	1	0.00310172
7	1	0.00292759
7	2	0.00645315
8	1	0.00215548
9	1	0.00138337
9	2	0.00138337
10	1	0.00199462
11	1	0.00260588
11	2	0.0057177
12	1	0.00271121
13	1	0.00281653
13	2	0.00639213
14	1	0.00216278
15	1	0.00150904
15	2	0.00150904
16	1	0.00236433
17	1	0.00321962
17	2	0.00731458
18	1	0.00319958
19	1	0.00317954
19	2	0.00722746
20	1	0.00229114
21	1	0.00140273
21	2	0.00140273
22	1	0.00191705
23	1	0.00243138
23	2	0.00550216
24	1	0.0023063
25	1	0.00218121
25	2	0.00479877
26	1	0.0016198
27	1	0.00105838
27	2	0.00105838
28	1	0.00155534
