Produced by "The Resistance", Tue Jun 18 20:08:40 2019
---------------------------------------------------------
Parameters: b = 5, l = 1, level = 1, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
1	10	1
3	10	1
5	10	1
7	10	1
9	10	1
1	1	0.0941176
1	2	0.191176
0	1	0.0941176
2	1	0.0911765
3	1	0.0882353
3	2	0.179412
4	1	0.0823529
5	1	0.0764706
5	2	0.141176
6	1	0.0823529
7	1	0.0882353
7	2	0.179412
8	1	0.0911765
9	1	0.0941176
9	2	0.191176
10	1	0.0941176
9	3	0.288235
9	4	0.394118
8	3	0.279412
10	3	0.288235
7	3	0.270588
7	4	0.385294
6	3	0.238235
5	3	0.205882
5	4	0.205882
4	3	0.238235
3	3	0.270588
3	4	0.385294
2	3	0.279412
1	3	0.288235
1	4	0.394118
0	3	0.288235
1	5	0.5
1	6	0.605882
0	5	0.5
2	5	0.5
3	5	0.5
3	6	0.614706
4	5	0.5
3	7	0.729412
3	8	0.820588
2	7	0.720588
4	7	0.761765
5	7	0.794118
5	6	0.794118
5	8	0.858824
6	7	0.761765
7	7	0.729412
7	6	0.614706
7	8	0.820588
8	7	0.720588
9	7	0.711765
9	6	0.605882
9	8	0.808824
10	7	0.711765
9	9	0.905882
8	9	0.908824
10	9	0.905882
7	9	0.911765
6	9	0.917647
5	9	0.923529
4	9	0.917647
3	9	0.911765
2	9	0.908824
1	9	0.905882
1	8	0.808824
0	9	0.905882
1	7	0.711765
0	7	0.711765
9	5	0.5
8	5	0.5
10	5	0.5
7	5	0.5
6	5	0.5
