Produced by "The Resistance", Tue Jun 18 20:08:40 2019
---------------------------------------------------------
Parameters: b = 5, l = 1, level = 2, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
11	0	0
13	0	0
15	0	0
17	0	0
19	0	0
21	0	0
23	0	0
25	0	0
27	0	0
29	0	0
31	0	0
33	0	0
35	0	0
37	0	0
39	0	0
41	0	0
43	0	0
45	0	0
47	0	0
49	0	0
1	50	1
3	50	1
5	50	1
7	50	1
9	50	1
11	50	1
13	50	1
15	50	1
17	50	1
19	50	1
21	50	1
23	50	1
25	50	1
27	50	1
29	50	1
31	50	1
33	50	1
35	50	1
37	50	1
39	50	1
41	50	1
43	50	1
45	50	1
47	50	1
49	50	1
1	1	0.0180688
1	2	0.0367215
0	1	0.0180688
2	1	0.0174849
3	1	0.016901
3	2	0.0343927
4	1	0.0157265
5	1	0.014552
5	2	0.0268711
6	1	0.0156105
7	1	0.016669
7	2	0.0339015
8	1	0.0171639
9	1	0.0176589
9	2	0.0358855
10	1	0.0175862
11	1	0.0175134
11	2	0.0355909
12	1	0.0168767
13	1	0.0162399
13	2	0.033056
14	1	0.0150271
15	1	0.0138143
15	2	0.0255032
16	1	0.0147268
17	1	0.0156392
17	2	0.0317647
18	1	0.0160655
19	1	0.0164918
19	2	0.0334769
20	1	0.0164247
21	1	0.0163577
21	2	0.0331967
22	1	0.0158092
23	1	0.0152607
23	2	0.0309952
24	1	0.0142383
25	1	0.013216
25	2	0.0243872
26	1	0.0142383
27	1	0.0152607
27	2	0.0309952
28	1	0.0158092
29	1	0.0163577
29	2	0.0331967
30	1	0.0164247
31	1	0.0164918
31	2	0.0334769
32	1	0.0160655
33	1	0.0156392
33	2	0.0317647
34	1	0.0147268
35	1	0.0138143
35	2	0.0255032
36	1	0.0150271
37	1	0.0162399
37	2	0.033056
38	1	0.0168767
39	1	0.0175134
39	2	0.0355909
40	1	0.0175862
41	1	0.0176589
41	2	0.0358855
42	1	0.0171639
43	1	0.016669
43	2	0.0339015
44	1	0.0156105
45	1	0.014552
45	2	0.0268711
46	1	0.0157265
47	1	0.016901
47	2	0.0343927
48	1	0.0174849
49	1	0.0180688
49	2	0.0367215
50	1	0.0180688
49	3	0.0553742
49	4	0.0757719
48	3	0.0536293
50	3	0.0553742
47	3	0.0518844
47	4	0.0739782
46	3	0.0455373
45	3	0.0391901
45	4	0.0391901
44	3	0.0451621
43	3	0.051134
43	4	0.0728495
42	3	0.052623
41	3	0.054112
41	4	0.0740494
40	3	0.0538902
39	3	0.0536683
39	4	0.0734221
38	3	0.0517702
37	3	0.049872
37	4	0.0711298
36	3	0.0435321
35	3	0.0371921
35	4	0.0371921
34	3	0.0425412
33	3	0.0478902
33	4	0.0680788
32	3	0.0491761
31	3	0.050462
31	4	0.0689461
30	3	0.0502489
29	3	0.0500358
29	4	0.0683149
28	3	0.0483828
27	3	0.0467297
27	4	0.0663968
