Produced by "The Resistance", Tue Jun 18 20:09:39 2019
---------------------------------------------------------
Parameters: b = 5, l = 3, level = 2, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
11	0	0
13	0	0
15	0	0
17	0	0
19	0	0
21	0	0
23	0	0
25	0	0
27	0	0
29	0	0
31	0	0
33	0	0
35	0	0
37	0	0
39	0	0
41	0	0
43	0	0
45	0	0
47	0	0
49	0	0
1	50	1
3	50	1
5	50	1
7	50	1
9	50	1
11	50	1
13	50	1
15	50	1
17	50	1
19	50	1
21	50	1
23	50	1
25	50	1
27	50	1
29	50	1
31	50	1
33	50	1
35	50	1
37	50	1
39	50	1
41	50	1
43	50	1
45	50	1
47	50	1
49	50	1
1	1	0.0126968
1	2	0.0299611
0	1	0.0126968
2	1	0.00812923
3	1	0.00356167
3	2	0.00356167
4	1	0.0025558
5	1	0.00154992
5	2	0.00154992
6	1	0.00209395
7	1	0.00263799
7	2	0.00263799
8	1	0.00582001
9	1	0.00900204
9	2	0.0212488
10	1	0.00893939
11	1	0.00887674
11	2	0.0209163
12	1	0.0056513
13	1	0.00242587
13	2	0.00242587
14	1	0.00162631
15	1	0.000826742
15	2	0.000826742
16	1	0.00085392
17	1	0.000881099
17	2	0.000881099
18	1	0.00178938
19	1	0.00269765
19	2	0.00632237
20	1	0.00267886
21	1	0.00266007
21	2	0.00625138
22	1	0.00171005
23	1	0.000760021
23	2	0.000760021
24	1	0.000570016
25	1	0.000380011
25	2	0.000380011
26	1	0.000570016
27	1	0.000760021
27	2	0.000760021
28	1	0.00171005
29	1	0.00266007
29	2	0.00625138
30	1	0.00267886
31	1	0.00269765
31	2	0.00632237
32	1	0.00178938
33	1	0.000881099
33	2	0.000881099
34	1	0.00085392
35	1	0.000826742
35	2	0.000826742
36	1	0.00162631
37	1	0.00242587
37	2	0.00242587
38	1	0.0056513
39	1	0.00887674
39	2	0.0209163
40	1	0.00893939
41	1	0.00900204
41	2	0.0212488
42	1	0.00582001
43	1	0.00263799
43	2	0.00263799
44	1	0.00209395
45	1	0.00154992
45	2	0.00154992
46	1	0.0025558
47	1	0.00356167
47	2	0.00356167
48	1	0.00812923
49	1	0.0126968
49	2	0.0299611
50	1	0.0126968
49	3	0.0472255
49	4	0.0644898
48	3	0.0472255
50	3	0.0472255
49	5	0.0817541
49	6	0.0990185
48	5	0.0817541
50	5	0.0817541
49	7	0.116283
49	8	0.133547
48	7	0.116283
50	7	0.116283
49	9	0.150811
49	10	0.165845
48	9	0.153042
50	9	0.150811
47	9	0.155273
47	8	0.155273
47	10	0.159673
46	9	0.153103
45	9	0.150934
45	8	0.150934
45	10	0.1535
44	9	0.146198
43	9	0.141462
43	8	0.141462
43	10	0.147328
42	9	0.130859
41	9	0.120256
41	8	0.102926
41	10	0.141156
40	9	0.106084
39	9	0.0919125
39	8	0.0849567
39	10	0.0919125
38	9	0.0846965
37	9	0.0774805
