Produced by "The Resistance", Tue Jun 18 20:09:39 2019
---------------------------------------------------------
Parameters: b = 5, l = 3, level = 1, crosswires = 1
---------------------------------------------------------
y	x	potential
1	0	0
3	0	0
5	0	0
7	0	0
9	0	0
1	10	1
3	10	1
5	10	1
7	10	1
9	10	1
1	1	0.0777778
1	2	0.183333
0	1	0.0777778
2	1	0.05
3	1	0.0222222
3	2	0.0222222
4	1	0.0166667
5	1	0.0111111
5	2	0.0111111
6	1	0.0166667
7	1	0.0222222
7	2	0.0222222
8	1	0.05
9	1	0.0777778
9	2	0.183333
10	1	0.0777778
9	3	0.288889
9	4	0.394444
8	3	0.288889
10	3	0.288889
9	5	0.5
9	6	0.605556
8	5	0.5
10	5	0.5
9	7	0.711111
9	8	0.816667
8	7	0.711111
10	7	0.711111
9	9	0.922222
8	9	0.95
10	9	0.922222
7	9	0.977778
7	8	0.977778
6	9	0.983333
5	9	0.988889
5	8	0.988889
4	9	0.983333
3	9	0.977778
3	8	0.977778
2	9	0.95
1	9	0.922222
1	8	0.816667
0	9	0.922222
1	7	0.711111
1	6	0.605556
0	7	0.711111
2	7	0.711111
1	5	0.5
1	4	0.394444
0	5	0.5
2	5	0.5
1	3	0.288889
0	3	0.288889
2	3	0.288889
