Produced by "The Resistance",2019-06-20 21:54:58.974072
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 2
---------------------------------------------------------
y	x	potential
0	0	0.000000
2	0	0.000000
4	0	0.000000
6	0	0.000000
8	0	0.000000
10	0	0.000000
12	0	0.000000
14	0	0.000000
16	0	0.000000
18	0	0.000000
18	2	0.099105
18	4	0.210479
18	6	0.317520
18	8	0.433972
18	10	0.566028
18	12	0.682480
18	14	0.789521
18	16	0.900895
18	18	1.000000
0	18	1.000000
2	18	1.000000
4	18	1.000000
6	18	1.000000
8	18	1.000000
10	18	1.000000
12	18	1.000000
14	18	1.000000
16	18	1.000000
0	2	0.099105
0	4	0.210479
0	6	0.317520
0	8	0.433972
0	10	0.566028
0	12	0.682480
0	14	0.789521
0	16	0.900895
1	1	0.044348
1	3	0.153861
1	5	0.267097
1	7	0.367944
1	9	0.500000
1	11	0.632056
1	13	0.732903
1	15	0.846139
1	17	0.955652
2	2	0.078288
2	4	0.227573
2	6	0.312815
2	8	0.407468
2	10	0.592532
2	12	0.687185
2	14	0.772427
2	16	0.921712
3	1	0.036656
3	5	0.261760
3	7	0.354459
3	11	0.645541
3	13	0.738240
3	17	0.963344
4	2	0.068334
4	4	0.208513
4	6	0.298140
4	8	0.399415
4	10	0.600585
4	12	0.701860
4	14	0.791487
4	16	0.931666
5	1	0.037124
5	3	0.131223
5	5	0.232557
5	7	0.343784
5	9	0.500000
5	11	0.656216
5	13	0.767443
5	15	0.868777
5	17	0.962876
6	2	0.080161
6	4	0.167884
6	6	0.255690
6	8	0.421892
6	10	0.578108
6	12	0.744310
6	14	0.832116
6	16	0.919839
7	1	0.035270
7	3	0.117026
7	5	0.190729
7	13	0.809271
7	15	0.882974
7	17	0.964730
8	2	0.060918
8	4	0.159142
8	6	0.180200
8	12	0.819800
8	14	0.840858
8	16	0.939082
9	1	0.030459
9	5	0.169671
9	13	0.830329
9	17	0.969541
10	2	0.060918
10	4	0.159142
10	6	0.180200
10	12	0.819800
10	14	0.840858
10	16	0.939082
11	1	0.035270
11	3	0.117026
11	5	0.190729
11	13	0.809271
11	15	0.882974
11	17	0.964730
12	2	0.080161
12	4	0.167884
12	6	0.255690
12	8	0.421892
12	10	0.578108
12	12	0.744310
12	14	0.832116
12	16	0.919839
13	1	0.037124
13	3	0.131223
13	5	0.232557
13	7	0.343784
13	9	0.500000
13	11	0.656216
13	13	0.767443
13	15	0.868777
13	17	0.962876
14	2	0.068334
14	4	0.208513
14	6	0.298140
14	8	0.399415
14	10	0.600585
14	12	0.701860
14	14	0.791487
14	16	0.931666
15	1	0.036656
15	5	0.261760
15	7	0.354459
15	11	0.645541
15	13	0.738240
15	17	0.963344
16	2	0.078288
16	4	0.227573
16	6	0.312815
16	8	0.407468
16	10	0.592532
16	12	0.687185
16	14	0.772427
16	16	0.921712
17	1	0.044348
17	3	0.153861
17	5	0.267097
17	7	0.367944
17	9	0.500000
17	11	0.632056
17	13	0.732903
17	15	0.846139
17	17	0.955652
