Produced by "The Resistance",2019-06-20 21:54:54.098879
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 1
---------------------------------------------------------
y	x	potential
0	0	0.000000
2	0	0.000000
4	0	0.000000
6	0	0.000000
6	2	0.322581
6	4	0.677419
6	6	1.000000
0	6	1.000000
2	6	1.000000
4	6	1.000000
0	2	0.322581
0	4	0.677419
1	1	0.145161
1	3	0.500000
1	5	0.854839
2	2	0.258065
2	4	0.741935
3	1	0.129032
3	5	0.870968
4	2	0.258065
4	4	0.741935
5	1	0.145161
5	3	0.500000
5	5	0.854839
