Produced by "The Resistance", Tue Jun 18 20:05:38 2019
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 2, crosswires = 9
---------------------------------------------------------
y	x	potential
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
1	90	1
2	90	1
3	90	1
4	90	1
5	90	1
6	90	1
7	90	1
8	90	1
9	90	1
11	90	1
12	90	1
13	90	1
14	90	1
15	90	1
16	90	1
17	90	1
18	90	1
19	90	1
21	90	1
22	90	1
23	90	1
24	90	1
25	90	1
26	90	1
27	90	1
28	90	1
29	90	1
31	90	1
32	90	1
33	90	1
34	90	1
35	90	1
36	90	1
37	90	1
38	90	1
39	90	1
41	90	1
42	90	1
43	90	1
44	90	1
45	90	1
46	90	1
47	90	1
48	90	1
49	90	1
51	90	1
52	90	1
53	90	1
54	90	1
55	90	1
56	90	1
57	90	1
58	90	1
59	90	1
61	90	1
62	90	1
63	90	1
64	90	1
65	90	1
66	90	1
67	90	1
68	90	1
69	90	1
71	90	1
72	90	1
73	90	1
74	90	1
75	90	1
76	90	1
77	90	1
78	90	1
79	90	1
81	90	1
82	90	1
83	90	1
84	90	1
85	90	1
86	90	1
87	90	1
88	90	1
89	90	1
1	1	0.00913677
1	2	0.0183233
0	1	0.00913677
2	1	0.00908701
2	2	0.0182245
3	1	0.00898679
3	2	0.0180251
4	1	0.00883501
4	2	0.0177224
5	1	0.00863088
5	2	0.0173136
6	1	0.00837495
6	2	0.0167984
7	1	0.00807054
7	2	0.0161819
8	1	0.00772529
8	2	0.0154782
9	1	0.00735238
9	2	0.0147136
10	1	0.00697068
11	1	0.00658898
11	2	0.0131408
12	1	0.00624445
12	2	0.012431
13	1	0.00595781
13	2	0.0118418
14	1	0.00574499
14	2	0.0114063
15	1	0.0056159
15	2	0.0111446
16	1	0.00557401
16	2	0.0110637
17	1	0.0056164
17	2	0.0111575
18	1	0.00573411
18	2	0.0114073
19	1	0.00591268
19	2	0.0117831
20	1	0.00613354
21	1	0.0063544
21	2	0.0127077
22	1	0.00657641
22	2	0.0131687
