Produced by "The Resistance", Tue Jun 18 20:05:38 2019
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 1, crosswires = 9
---------------------------------------------------------
y	x	potential
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
1	30	1
2	30	1
3	30	1
4	30	1
5	30	1
6	30	1
7	30	1
8	30	1
9	30	1
11	30	1
12	30	1
13	30	1
14	30	1
15	30	1
16	30	1
17	30	1
18	30	1
19	30	1
21	30	1
22	30	1
23	30	1
24	30	1
25	30	1
26	30	1
27	30	1
28	30	1
29	30	1
1	1	0.029807
1	2	0.0597639
0	1	0.029807
2	1	0.029657
2	2	0.0594658
3	1	0.0293551
3	2	0.0588648
4	1	0.0288986
4	2	0.0579532
5	1	0.028286
5	2	0.0567247
6	1	0.0275208
6	2	0.0551817
7	1	0.0266154
7	2	0.0533441
8	1	0.0255966
8	2	0.0512618
9	1	0.0245092
9	2	0.0490238
10	1	0.0234163
11	1	0.0223235
11	2	0.0444995
12	1	0.021378
12	2	0.0425397
13	1	0.0206489
13	2	0.0410283
14	1	0.0201894
14	2	0.0400761
15	1	0.0200324
15	2	0.0397511
16	1	0.0201894
16	2	0.0400761
17	1	0.0206489
17	2	0.0410283
18	1	0.021378
18	2	0.0425397
19	1	0.0223235
19	2	0.0444995
20	1	0.0234163
21	1	0.0245092
21	2	0.0490238
22	1	0.0255966
22	2	0.0512618
23	1	0.0266154
23	2	0.0533441
24	1	0.0275208
24	2	0.0551817
25	1	0.028286
25	2	0.0567247
26	1	0.0288986
26	2	0.0579532
27	1	0.0293551
27	2	0.0588648
28	1	0.029657
28	2	0.0594658
29	1	0.029807
29	2	0.0597639
30	1	0.029807
29	3	0.090019
30	2	0.0597639
28	3	0.0895776
27	3	0.0886851
26	3	0.0873246
25	3	0.0854781
24	3	0.0831371
23	3	0.0803177
22	3	0.0770826
21	3	0.0735626
20	2	0.0467616
19	3	0.0663731
18	3	0.0632532
17	3	0.0608483
16	3	0.0593355
15	3	0.0588198
14	3	0.0593355
13	3	0.0608483
12	3	0.0632532
11	3	0.0663731
10	2	0.0467616
9	3	0.0735626
8	3	0.0770826
7	3	0.0803177
6	3	0.0831371
5	3	0.0854781
4	3	0.0873246
3	3	0.0886851
2	3	0.0895776
1	3	0.090019
0	2	0.0597639
1	4	0.120715
0	3	0.090019
2	4	0.120141
3	4	0.118973
4	4	0.117182
5	4	0.114726
6	4	0.111571
7	4	0.107707
8	4	0.103189
9	4	0.098176
10	3	0.0699679
11	4	0.0877721
12	4	0.0832515
13	4	0.0797764
14	4	0.077598
15	4	0.0768569
16	4	0.077598
17	4	0.0797764
18	4	0.0832515
19	4	0.0877721
20	3	0.0699679
